context,responses,annotated_strategy,usefulness,fluency,style,emotion,emotion_adequate,strategy_adequate,role_consistency
"<sp1> Take a seat inside and see what you think. So you will take the Porsche then, Sir? <sp2> Yes, And I want to buy the insurance too. I think it's necessary. <sp1> You're smart to buy it. At 45 dollars for three days, It is a good deal.",That's a good deal. I'll take it.,<c>That's a good deal. I'll take it.</c>,2,3,1,['neutral'],3,3,1
"<sp1> Take a seat inside and see what you think. So you will take the Porsche then, Sir? <sp2> Yes, And I want to buy the insurance too. I think it's necessary. <sp1> You're smart to buy it. At 45 dollars for three days, It is a good deal.",Thank you very much.,<i>Thank you very much.</i>,1,2,1,['neutral'],3,1,1
"<sp1> Take a seat inside and see what you think. So you will take the Porsche then, Sir? <sp2> Yes, And I want to buy the insurance too. I think it's necessary. <sp1> You're smart to buy it. At 45 dollars for three days, It is a good deal.",Can I return the car in San Francisco?,<q>Can I return the car in San Francisco?</q>,3,2,1,['neutral'],3,2,1
"<sp1> The developments in software are going ahead very quickly and more and more problems are resolved by software. In some regions, The hardware is completely replaced by software. So I think the software industry has a great future. <sp2> Have you ever designed any programs concerning network? <sp1> Yes, I have designed some programs for the network with Visual C + + and I have passed the test for programmers -MUSE.",What is it?,<q>What is it?</q>,1,3,1,['neutral'],3,3,1
"<sp1> The developments in software are going ahead very quickly and more and more problems are resolved by software. In some regions, The hardware is completely replaced by software. So I think the software industry has a great future. <sp2> Have you ever designed any programs concerning network? <sp1> Yes, I have designed some programs for the network with Visual C + + and I have passed the test for programmers -MUSE.",Can you tell me a little about the software development process?,<q>Can you tell me a little about the software development process?</q>,3,3,1,['neutral'],3,3,1
"<sp1> The developments in software are going ahead very quickly and more and more problems are resolved by software. In some regions, The hardware is completely replaced by software. So I think the software industry has a great future. <sp2> Have you ever designed any programs concerning network? <sp1> Yes, I have designed some programs for the network with Visual C + + and I have passed the test for programmers -MUSE.",Have you got anything to ask me?,<q>Have you got anything to ask me?</q>,2,3,1,['neutral'],3,3,1
"<sp1> The developments in software are going ahead very quickly and more and more problems are resolved by software. In some regions, The hardware is completely replaced by software. So I think the software industry has a great future. <sp2> Have you ever designed any programs concerning network? <sp1> Yes, I have designed some programs for the network with Visual C + + and I have passed the test for programmers -MUSE.",I would like to ask if you could recommend a computer program to me to begin with.,<q>I would like to ask if you could recommend a computer program to me to begin with.</q>,3,3,1,['neutral'],3,3,1
"<sp1> But there are only two more days until the bidding closes! <sp2> I bid on a Chanel watch at the last minute, And got it sixty percent off! <sp1> Oh... I'm such a newbie. But at least I'm sure I'll get that tennis racket.","Don't count on it, Babe. Ebay is always full of surprises.","<i>Don't count on it, Babe. Ebay is always full of surprises.</i>",3,2,1,['sadness'],2,3,1
"<sp1> But there are only two more days until the bidding closes! <sp2> I bid on a Chanel watch at the last minute, And got it sixty percent off! <sp1> Oh... I'm such a newbie. But at least I'm sure I'll get that tennis racket.",The auction house is really fast. I'll let you in on a secret... I'm going to the West Village to see the new Fine Art Store.,<i>The auction house is really fast. I'll let you in on a secret... I'm going to the West Village to see the new Fine Art Store.</i>,2,3,1,['neutral'],3,3,1
"<sp1> But there are only two more days until the bidding closes! <sp2> I bid on a Chanel watch at the last minute, And got it sixty percent off! <sp1> Oh... I'm such a newbie. But at least I'm sure I'll get that tennis racket.",How about a Chanel bracelet?,<q>How about a Chanel bracelet?</q>,2,3,1,['neutral'],3,2,1
"<sp1> But there are only two more days until the bidding closes! <sp2> I bid on a Chanel watch at the last minute, And got it sixty percent off! <sp1> Oh... I'm such a newbie. But at least I'm sure I'll get that tennis racket.",That racket is the best racket in the game. You'll have to take it.,<i>That racket is the best racket in the game. You'll have to take it.</i>,3,2,1,['neutral'],3,3,1
<sp1> When was this break-in? <sp2> I believe it happened last night. <sp1> Where was the break-in?,The break-in took place on the second floor.,<i>The break-in took place on the second floor.</i>,3,3,1,['neutral'],3,3,1
<sp1> When was this break-in? <sp2> I believe it happened last night. <sp1> Where was the break-in?,It was at the Wendy's on Grant Avenue.,<i>It was at the Wendy's on Grant Avenue.</i>,3,3,1,['neutral'],3,3,1
<sp1> When was this break-in? <sp2> I believe it happened last night. <sp1> Where was the break-in?,It happened on the third floor.,<i>It happened on the third floor.</i>,3,3,1,['neutral'],3,3,1
<sp1> When was this break-in? <sp2> I believe it happened last night. <sp1> Where was the break-in?,At a bar. I think that this bar is a little bit haunted.,<i>At a bar. I think that this bar is a little bit haunted.</i>,3,3,1,['neutral'],2,3,1
<sp1> When was this break-in? <sp2> I believe it happened last night. <sp1> Where was the break-in?,It happened at my house.,<i>It happened at my house.</i>,3,3,1,['neutral'],3,3,1
"<sp1> Excuse me. How much is the chocolate bar? <sp2> One dollar. <sp1> So, I can have five for five dollars?","Yes, you can have five chocolate bars for five dollars.","<i>Yes, you can have five chocolate bars for five dollars.</i>",3,3,1,['neutral'],3,3,1
"<sp1> Excuse me. How much is the chocolate bar? <sp2> One dollar. <sp1> So, I can have five for five dollars?","Yes, That's right.","<i>Yes, That's right.</i>",2,2,1,['neutral'],3,3,1
"<sp1> Excuse me. How much is the chocolate bar? <sp2> One dollar. <sp1> So, I can have five for five dollars?","Actually, You can only have four.","<i>Actually, You can only have four.</i>",3,2,1,['neutral'],3,3,1
"<sp1> Excuse me. How much is the chocolate bar? <sp2> One dollar. <sp1> So, I can have five for five dollars?","Sure, you can have five chocolate bars for five dollars.","<i>Sure, you can have five chocolate bars for five dollars.</i>",3,3,1,['neutral'],3,3,1
<sp1> What about a draft at 120 days sight? <sp2> All right. But we demand the draft be accepted by a bank acceptable to us. <sp1> A bank's acceptance will add to the costs of our imports. You can rest assured that we will accept the draft and honour it when it comes due.,We will appoint a bank's guarantor.,<c>We will appoint a bank's guarantor.</c>,2,3,1,['neutral'],3,3,1
<sp1> What about a draft at 120 days sight? <sp2> All right. But we demand the draft be accepted by a bank acceptable to us. <sp1> A bank's acceptance will add to the costs of our imports. You can rest assured that we will accept the draft and honour it when it comes due.,All right. We will make a decision by the draft board. We will notify the bank.,<c>All right. We will make a decision by the draft board. We will notify the bank.</c>,2,3,1,['neutral'],3,3,1
