context,responses,annotated_strategy,usefulness,fluency,style,emotion,emotion_adequate,strategy_adequate,role_consistency
"<sp1> Take a seat inside and see what you think. So you will take the Porsche then, Sir? <sp2> Yes, And I want to buy the insurance too. I think it's necessary. <sp1> You're smart to buy it. At 45 dollars for three days, It is a good deal.",That's a good deal. I'll take it.,<I>That's a good deal. I'll take it.</I>,2,2,1,['happiness'],3,3,1
"<sp1> Take a seat inside and see what you think. So you will take the Porsche then, Sir? <sp2> Yes, And I want to buy the insurance too. I think it's necessary. <sp1> You're smart to buy it. At 45 dollars for three days, It is a good deal.",Thank you very much.,<I>Thank you very much.</I>,1,3,1,['happiness'],2,2,1
"<sp1> Take a seat inside and see what you think. So you will take the Porsche then, Sir? <sp2> Yes, And I want to buy the insurance too. I think it's necessary. <sp1> You're smart to buy it. At 45 dollars for three days, It is a good deal.",Can I return the car in San Francisco?,<Q>Can I return the car in San Francisco?</Q>,3,3,1,['neutral'],3,3,1
"<sp1> The developments in software are going ahead very quickly and more and more problems are resolved by software. In some regions, The hardware is completely replaced by software. So I think the software industry has a great future. <sp2> Have you ever designed any programs concerning network? <sp1> Yes, I have designed some programs for the network with Visual C + + and I have passed the test for programmers -MUSE.",What is it?,What is it?,2,2,1,[],2,2,1
"<sp1> The developments in software are going ahead very quickly and more and more problems are resolved by software. In some regions, The hardware is completely replaced by software. So I think the software industry has a great future. <sp2> Have you ever designed any programs concerning network? <sp1> Yes, I have designed some programs for the network with Visual C + + and I have passed the test for programmers -MUSE.",Can you tell me a little about the software development process?,<Q>Can you tell me a little about the software development process?</Q>,3,3,1,['neutral'],3,3,1
"<sp1> The developments in software are going ahead very quickly and more and more problems are resolved by software. In some regions, The hardware is completely replaced by software. So I think the software industry has a great future. <sp2> Have you ever designed any programs concerning network? <sp1> Yes, I have designed some programs for the network with Visual C + + and I have passed the test for programmers -MUSE.",Have you got anything to ask me?,<Q>Have you got anything to ask me?</Q>,3,3,1,['neutral'],3,3,1
"<sp1> The developments in software are going ahead very quickly and more and more problems are resolved by software. In some regions, The hardware is completely replaced by software. So I think the software industry has a great future. <sp2> Have you ever designed any programs concerning network? <sp1> Yes, I have designed some programs for the network with Visual C + + and I have passed the test for programmers -MUSE.",I would like to ask if you could recommend a computer program to me to begin with.,<Q>I would like to ask if you could recommend a computer program to me to begin with.</Q>,3,3,1,['neutral'],3,3,1
"<sp1> But there are only two more days until the bidding closes! <sp2> I bid on a Chanel watch at the last minute, And got it sixty percent off! <sp1> Oh... I'm such a newbie. But at least I'm sure I'll get that tennis racket.","Don't count on it, Babe. Ebay is always full of surprises.","<D>Don't count on it, Babe.</D><I> Ebay is always full of surprises.</I>",3,3,1,['neutral'],3,3,1
"<sp1> But there are only two more days until the bidding closes! <sp2> I bid on a Chanel watch at the last minute, And got it sixty percent off! <sp1> Oh... I'm such a newbie. But at least I'm sure I'll get that tennis racket.",The auction house is really fast. I'll let you in on a secret... I'm going to the West Village to see the new Fine Art Store.,<I>The auction house is really fast. I'll let you in on a secret... I'm going to the West Village to see the new Fine Art Store.</I>,2,3,1,['happiness'],3,2,1
"<sp1> But there are only two more days until the bidding closes! <sp2> I bid on a Chanel watch at the last minute, And got it sixty percent off! <sp1> Oh... I'm such a newbie. But at least I'm sure I'll get that tennis racket.",How about a Chanel bracelet?,How about a Chanel bracelet?,2,2,1,[''],2,2,1
